Player,Matches,Innings,No,Runs,HS,Avg,BF,SR,100,200,50,4s,6s
Noor Ali Zadran,47,47,0,1153,114,24.53,1821,63.32,1,0,7,123,4
Hazratullah Zazai,9,9,0,183,67,20.33,199,91.96,0,0,1,17,11
Asghar Afghan,102,97,8,2121,101,23.83,3244,65.38,1,0,11,146,52
Hashmatullah Shahidi,33,33,7,884,97,34,1353,65.34,0,0,7,73,1
Najibullah Zadran,57,52,9,1321,104,30.72,1454,90.85,1,0,10,105,54
Rahmat Shah ,61,58,2,2044,114,36.5,2885,70.85,4,0,14,170,23
Samiullah Shinwari,82,72,11,1776,96,29.11,2687,66.1,0,0,11,135,29
Gulbadin Naib,55,47,8,861,82,22.08,1198,71.87,0,0,5,65,24
Mohammad Nabi,113,102,10,2613,116,28.4,3007,86.9,1,0,13,158,87
Mohammad Shahzad,84,84,3,2756,131,34.02,3088,89.25,6,0,14,326,58
Rashid Khan,59,45,9,825,60,22.92,799,103.25,0,0,4,72,27
Dawlat Zadran,77,52,25,506,47,18.74,636,79.56,0,0,0,39,21
Aftab Alam,24,14,9,66,16,13.2,95,69.47,0,0,0,6,3
Hamid Hassan,35,18,5,93,17,7.15,173,53.76,0,0,0,9,2
Mujeeb Ur Rahman,31,14,6,54,15,6.75,56,96.43,0,0,0,6,2
