Player,Matches,Innings,Bowls,Runs,Wickets,BBI,BBM,Econ,Avg,SR,5W,10W
Noor Ali Zadran,47,0,0,0,0,0,0,0,0,0,0,0
Hazratullah Zazai,9,0,0,0,0,0,0,0,0,0,0,0
Asghar Afghan,102,7,139,91,3,1-Jan,1-Jan,3.93,30.33,46.33,0,0
Hashmatullah Shahidi,33,2,18,25,0,0/8,0/8,8.33,0,0,0,0
Najibullah Zadran,57,2,30,30,0,0/9,0/9,6,0,0,0,0
Rahmat Shah,61,22,446,435,13,May-32,May-32,5.85,33.46,34.31,1,0
Samiullah Shinwari,82,65,2085,1704,47,Apr-31,Apr-31,4.9,36.26,44.36,0,0
Gulbadin Naib,55,51,1800,1551,51,Jun-43,Jun-43,5.17,30.41,35.29,1,0
Mohammad Nabi,113,110,5363,3812,118,30-Apr,30-Apr,4.26,32.31,45.45,0,0
Mohammad Shahzad,84,0,0,0,0,0,0,0,0,0,0,0
Rashid Khan,59,57,2995,1969,126,18-Jul,18-Jul,3.94,15.63,23.77,4,0
Dawlat Zadran,77,76,3565,3167,107,22-Apr,22-Apr,5.33,29.6,33.32,0,0
Aftab Alam,24,24,1136,918,37,25-Apr,25-Apr,4.85,24.81,30.7,0,0
Hamid Hassan,35,34,1632,1228,61,May-45,May-45,4.51,20.13,26.75,1,0
Mujeeb Ur Rahman,31,30,1655,1066,52,May-50,May-50,3.86,20.5,31.83,1,0
