Player,Matches,Innings,No,Runs,HS,Avg,BF,SR,100,200,50,4s,6s
Tamim Iqbal,194,192,8,6652,154,36.15,8524,78.04,11,0,46,729,82
Soumya Sarkar,45,44,3,1509,127,36.8,1498,100.73,2,0,10,178,39
Sabbir Rahman,61,54,7,1219,102,25.94,1332,91.52,1,0,5,139,24
Mahmudullah,176,152,42,3803,128,34.57,4974,76.46,3,0,20,301,52
Mohammad Saifuddin,14,7,1,175,50,29.17,250,70,0,0,1,12,2
Mosaddek Hossain,27,23,10,433,52,33.31,496,87.3,0,0,2,43,11
Shakib Al Hasan,199,187,25,5792,134,35.75,7094,81.65,7,0,43,522,41
Mehidy Hasan,29,17,3,5792,51,21.14,408,72.55,0,0,1,28,3
Liton Das,28,28,1,584,121,21.63,704,82.95,1,0,2,66,7
Mushfiqur Rahim,206,192,31,5636,144,35.01,7191,78.38,6,0,34,452,79
Mohammad Mithun,19,16,2,441,63,31.5,569,77.5,0,0,4,36,12
Mashrafe Mortaza,210,151,26,1752,51,14.02,2002,87.51,0,0,1,148,59
Rubel Hossain,97,49,23,123,17,4.73,226,54.42,0,0,0,12,2
Mustafizur Rahman,47,21,15,57,18,9.5,113,50.44,0,0,0,6,0
Abu Jayed,2,0,0,0,0,0,0,0,0,0,0,0,0
