Player,Matches,Innings,Bowls,Runs,Wickets,BBI,BBM,Econ,Avg,SR,5W,10W
Tamim Iqbal,194,2,6,13,0,0/6,0/6,13,0,0,0,0
Soumya Sarkar,45,9,144,138,1,19-Jan,19-Jan,5.75,138,144,0,0
Sabbir Rahman,61,20,290,325,3,12-Jan,12-Jan,6.72,108.33,96.67,0,0
Mahmudullah,176,132,4066,3502,76,4-Mar,4-Mar,5.17,46.08,53.5,0,0
Mohammad Saifuddin,14,14,612,549,13,Mar-45,Mar-45,5.38,42.23,47.08,0,0
Mosaddek Hossain,27,25,638,533,11,13-Mar,13-Mar,5.01,48.45,58,0,0
Shakib Al Hasan,199,196,10133,7508,250,May-47,May-47,4.45,30.03,40.53,1,0
Mehidy Hasan,29,28,1447,1057,30,29-Apr,29-Apr,4.38,35.23,48.23,0,0
Liton Das,28,0,0,0,0,0,0,0,0,0,0,0
Mushfiqur Rahim,206,0,0,0,0,0,0,0,0,0,0,0
Mohammad Mithun,19,0,0,0,0,0,0,0,0,0,0,0
Mashrafe Mortaza,210,210,10495,8451,265,26-Jun,26-Jun,4.83,31.89,39.6,1,0
Rubel Hossain,97,95,4330,4060,123,26-Jun,26-Jun,5.63,33.01,35.2,1,0
Mustafizur Rahman,7,46,2332,1916,86,Jun-43,Jun-43,4.93,22.28,27.12,3,0
Abu Jayed,2,2,108,114,5,May-58,May-58,6.33,22.8,21.6,1,0
