Player,Matches,Innings,No,Runs,HS,Avg,BF,SR,100,200,50,4s,6s
Eoin Morgan,222,208,30,7034,124,39.52,7779,90.42,12,0,46,590,192
Jason Roy,76,75,2,2992,180,40.99,2817,106.21,8,0,15,347,56
Joe Root,132,125,19,5351,133,50.48,6140,87.15,14,0,31,432,41
James Vince,10,8,0,225,51,28.12,248,90.73,0,0,1,33,0
Ben Stokes,85,72,12,2306,102,38.43,2435,94.7,3,0,16,188,64
Moeen Ali,96,78,12,1694,128,25.67,1639,103.36,3,0,5,151,55
Chris Woakes,88,59,18,1065,95,25.98,1181,90.18,0,0,4,76,16
Tom Curran,17,11,7,178,47,44.5,166,107.23,0,0,0,18,4
Liam Dawson,3,2,0,14,10,7,17,82.35,0,0,0,1,0
Jofra Archer,4,1,1,7,7,0,3,233.33,0,0,0,1,0
Jonny Bairstow,63,58,8,2329,141,46.58,2177,106.98,7,0,9,259,51
Jos Buttler,131,109,23,3549,150,41.27,2969,119.54,8,0,18,299,117
Liam Plunkett,82,46,16,593,56,19.77,594,99.83,0,0,1,47,17
Adil Rashid,88,38,11,543,69,20.11,536,101.31,0,0,1,60,6
Mark Wood,40,13,8,45,13,9,51,88.24,0,0,0,4,0
