Player,Matches,Innings,Bowls,Runs,Wickets,BBI,BBM,Econ,Avg,SR,5W,10W
Eoin Morgan,222,0,0,0,0,0,0,0,0,0,0,0
Jason Roy,76,0,0,0,0,0,0,0,0,0,0,0
Joe Root,132,61,1354,1308,20,Mar-52,Mar-52,5.8,65.4,67.7,0,0
James Vince,10,0,0,0,0,0,0,0,0,0,0,0
Ben Stokes,85,70,2624,2686,65,May-61,May-61,6.14,41.32,40.37,1,0
Moeen Ali,96,91,4456,3922,80,Apr-46,Apr-46,5.28,49.02,55.7,0,0
Chris Woakes,88,85,4158,3905,126,Jun-45,Jun-45,5.63,30.99,33,3,0
Tom Curran,17,17,762,805,27,May-35,May-35,6.34,29.81,28.22,1,0
Liam Dawson,3,2,84,96,3,Feb-70,Feb-70,6.86,32,28,0,0
Jofra Archer,4,4,174,135,6,27-Mar,27-Mar,4.66,22.5,29,0,0
Jonny Bairstow,63,0,0,0,0,0,0,0,0,0,0,0
Jos Buttler,131,0,0,0,0,0,0,0,0,0,0,0
Liam Plunkett,82,81,3843,3775,126,May-52,May-52,5.89,29.96,30.5,1,0
Adil Rashid,88,83,4347,4056,133,27-May,27-May,5.6,30.5,32.68,2,0
Mark Wood,40,40,2047,1923,43,Apr-33,Apr-33,5.64,44.72,47.6,0,0
