Player,Matches,Innings,Bowls,Runs,Wickets,BBI,BBM,Econ,Avg,SR,5W,10W
Rohit Sharma,206,38,593,515,8,27-Feb,27-Feb,5.21,64.38,74.12,0,0
Shikhar Dhawan,128,0,0,0,0,0,0,0,0,0,0,0
Virat Kohli,227,48,641,665,4,15-Jan,15-Jan,6.22,166.25,160.25,0,0
Vijay Shankar,9,8,201,188,2,15-Feb,15-Feb,5.61,94,100.5,0,0
Hardik Pandya,45,44,1894,1748,44,31-Mar,31-Mar,5.54,39.73,43.05,0,0
Kedar Jadhav,59,36,1091,937,27,23-Mar,23-Mar,5.15,34.7,40.41,0,0
Ravindra Jadeja,151,147,7669,6245,174,May-36,May-36,4.89,35.89,44.07,1,0
Lokesh Rahul,14,0,0,0,0,0,0,0,0,0,0,0
MS Dhoni,341,2,36,31,1,14-Jan,14-Jan,5.17,31,36,0,0
Dinesh Karthik,91,0,0,0,0,0,0,0,0,0,0,0
Kuldeep Yadav,44,42,2298,1892,87,25-Jun,25-Jun,4.94,21.75,26.41,1,0
Mohammed Shami,63,62,3231,2951,113,Apr-35,Apr-35,5.48,26.12,28.59,0,0
Jasprit Bumrah,49,49,2505,1883,85,27-May,27-May,4.51,22.15,29.47,1,0
Bhuvneshwar Kumar,105,104,5039,4209,118,May-42,May-42,5.01,35.67,42.7,1,0
Yuzvendra Chahal,41,40,2173,1772,72,Jun-42,Jun-42,4.89,24.61,30.18,2,0
