Player,Matches,Innings,No,Runs,HS,Avg,BF,SR,100,200,50,4s,6s
Kane Williamson,140,133,12,5555,145,45.91,6723,82.63,11,0,37,510,46
Martin Guptill,170,167,18,6513,237,43.71,7415,87.84,16,1,35,664,166
Ross Taylor,219,203,37,8021,181,48.32,9627,83.32,20,0,47,664,138
Colin de Grandhomme,29,21,6,443,74,29.53,401,110.47,0,0,1,31,22
Colin Munro,52,48,2,1204,87,26.17,1133,106.27,0,0,8,126,35
James Neesham,50,42,9,1015,74,30.76,966,105.07,0,0,5,97,23
Mitchell Santner,60,46,16,826,67,27.53,922,89.59,0,0,2,58,24
Tom Blundell,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Latham,86,79,8,2395,137,33.73,2880,83.16,4,0,14,205,33
Henry Nicholls,41,39,10,1029,124,35.48,1210,85.04,1,0,8,88,10
Trent Boult,80,35,20,144,21,9.6,190,75.79,0,0,0,13,6
Lockie Ferguson,28,13,6,58,19,8.29,119,48.74,0,0,0,2,1
Matt Henry,44,16,6,193,48,19.3,186,103.76,0,0,0,17,9
Tim Southee,139,84,31,671,55,12.66,670,100.15,0,0,1,53,26
Ish Sodhi,30,12,2,62,24,6.2,84,73.81,0,0,0,2,
