Player,Matches,Innings,Bowls,Runs,Wickets,BBI,BBM,Econ,Avg,SR,5W,10W
Kane Williamson,140,63,1377,1246,35,22-Apr,22-Apr,5.43,35.6,39.34,0,0
Martin Guptill,170,12,109,98,4,6-Feb,6-Feb,5.39,24.5,27.25,0,0
Ross Taylor,219,6,42,35,0,0/0,0/0,5,0,0,0,0
Colin de Grandhomme,29,29,1002,848,19,26-Mar,26-Mar,5.08,44.63,52.74,0,0
Colin Munro,52,24,546,472,7,10-Feb,10-Feb,5.19,67.43,78,0,0
James Neesham,50,47,1463,1543,45,Apr-42,Apr-42,6.33,34.29,32.51,0,0
Mitchell Santner,60,56,2689,2192,64,May-50,May-50,4.89,34.25,42.02,1,0
Tom Blundell,0,0,0,0,0,0,0,0,0,0,0,0
Tom Latham,86,0,0,0,0,0,0,0,0,0,0,0
Henry Nicholls,41,0,0,0,0,0,0,0,0,0,0,0
Trent Boult,80,80,4344,3676,148,Jul-34,Jul-34,5.08,24.84,29.35,5,0
Lockie Ferguson,28,28,1438,1332,49,May-45,May-45,5.56,27.18,29.35,1,0
Matt Henry,44,42,2263,2074,81,30-May,30-May,5.5,25.6,27.94,2,0
Tim Southee,139,137,6967,6302,185,Jul-33,Jul-33,5.43,34.06,37.66,3,0
Ish Sodhi,30,29,1512,1395,39,Apr-58,Apr-58,5.54,35.77,38.77,0,0
