Player,Matches,Innings,Bowls,Runs,Wickets,BBI,BBM,Econ,Avg,SR,5W,10W
Fakhar Zaman,37,7,135,111,1,19-Jan,19-Jan,4.93,111,135,0,0
Imam-ul-Haq,29,0,0,0,0,0,0,0,0,0,0,0
Babaz Azam,65,0,0,0,0,0,0,0,0,0,0,0
Asif Ali,16,1,5,9,0,0/9,0/9,0,0,0,0,0
Shaheen Afridi,14,13,641,613,24,Apr-38,Apr-38,5.74,25.54,26.71,0,0
Hasan Ali,50,48,2374,2164,80,May-34,May-34,5.47,27.05,29.68,3,0
Wahab Riaz,80,79,3717,3543,102,May-46,May-46,5.72,34.74,36.44,1,0
Mohammad Hasnain,5,5,246,303,5,Feb-52,Feb-52,7.39,60.6,49.2,0,0
Mohammad Amir,52,51,2509,1997,63,28-Apr,28-Apr,4.78,31.7,39.83,0,0
Shadab Khan,35,33,1627,1304,47,28-Apr,28-Apr,4.81,27.74,34.62,0,0
Shoaib Malik,284,214,7910,6145,157,19-Apr,19-Apr,4.66,39.14,50.38,0,0
Mohammad Hafeez,211,170,7541,5212,137,Apr-41,Apr-41,4.15,38.04,55.04,0,0
Imad Wasim,47,45,2037,1639,39,14-May,14-May,4.83,42.03,52.23,1,0
Haris Sohail,35,21,642,613,11,Mar-45,Mar-45,5.73,55.73,58.36,0,0
Sarfaraz Ahmed,107,1,12,15,0,0/15,0/15,7.5,0,0,0,0
