Player,Matches,Innings,No,Runs,HS,Avg,BF,SR,100,200,50,4s,6s
Faf du Plessis,136,130,16,5187,185,45.5,5846,88.73,11,0,33,465,63
David Miller,121,107,31,2960,139,38.95,2940,100.68,5,0,12,221,82
Aiden Markram,20,20,1,559,67,29.42,637,87.76,0,0,2,65,9
Hasim Amla,175,172,12,7923,159,49.52,8889,89.13,27,0,37,808,53
Rassie van der Dussen,11,10,4,444,93,74,566,78.45,0,0,5,29,8
Jean-Paul Duminy,196,177,40,5100,150,37.23,6026,84.63,4,0,27,346,75
Andilo Phehlukwayo,45,27,12,448,69,29.87,492,91.06,0,0,1,43,17
Dwaine Pretorius,20,9,1,133,50,16.62,140,95,0,0,1,9,4
Chris Morris,35,24,3,404,62,19.24,414,97.58,0,0,1,33,12
Quinton de Kock,108,108,5,4693,178,45.56,4909,95.6,14,0,22,547,67
Kagiso Rabada,68,26,11,225,26,15,291,77.32,0,0,0,18,5
Lungi Ngidi,20,8,6,46,19,23,60,76.67,0,0,0,4,2
Imran Tahir,100,34,15,156,29,8.21,220,70.91,0,0,0,21,1
Tabraiz Shamsi,15,3,2,0,0,0,2,0,0,0,0,0,0
Beuran Hendricks,2,1,1,2,2,0,8,25,0,0,0,0,0
