Player,Matches,Innings,Bowls,Runs,Wickets,BBI,BBM,Econ,Avg,SR,5W,10W
Faf du Plessis,136,11,192,189,2,8-Jan,8-Jan,5.91,94.5,96,0,0
David Miller,121,0,0,0,0,0,0,0,0,0,0,0
Aiden Markram,20,5,96,110,2,18-Feb,18-Feb,6.88,55,48,0,0
Hashim Amla,175,0,0,0,0,0,0,0,0,0,0,0
Rassie van der Dussen,11,0,0,0,0,0,0,0,0,0,0,0
Jean0Paul Duminy,196,133,3477,3106,68,16-Apr,16-Apr,5.36,45.68,51.13,0,0
Andile Phehlukwayo,45,44,1814,1695,57,22-Apr,22-Apr,5.61,29.74,31.82,0,0
Dwaine Pretorius,20,20,926,761,24,5-Mar,5-Mar,4.93,31.71,38.58,0,0
Chris Morris,35,34,1572,1488,37,Apr-31,Apr-31,5.68,40.22,42.49,0,0
Quinton de Kock,108,0,0,0,0,0,0,0,0,0,0,0
Kagiso Rabada,68,67,3494,2925,108,16-Jun,16-Jun,5.02,27.08,32.35,1,0
Lungi Ngidi,20,20,912,836,37,Apr-51,Apr-51,5.5,22.59,24.65,0,0
Imran Tahir,100,98,5205,4041,166,Jul-45,Jul-45,4.66,24.34,31.36,3,0
Tabraiz Shamsi,15,15,771,682,19,Apr-33,Apr-33,5.31,35.89,40.58,0,0
Beuran Hendricks,2,2,96,81,1,Jan-50,Jan-50,5.06,81,96,0,0
