Player,Matches,Innings,No,Runs,HS,Avg,BF,SR,100,200,50,4s,6s
Dimuth Karunaratne,19,15,2,319,77,24.54,449,71.05,0,0,3,25,0
Avishka Fernando,6,6,0,145,74,24.17,157,92.36,0,0,1,17,4
Lahiru Thirimanne,119,98,13,2964,139,34.87,4142,71.56,4,0,20,229,25
Angelo Mathews,205,175,46,5381,139,41.71,6469,83.18,2,0,37,421,84
Dhananjaya de Silva,34,32,4,692,84,24.71,900,76.89,0,0,4,71,8
Isuru Udana,7,5,1,125,78,31.25,105,119.05,0,0,1,10,7
Milinda Siriwardana,26,23,1,513,66,23.32,521,98.46,0,0,3,39,13
Thisara Perera,155,122,16,2174,140,20.51,1935,112.35,1,0,10,165,82
Jeevan Mendis,56,42,10,618,72,19.31,722,85.6,0,0,1,47,12
Kusal Perera,89,84,4,2312,135,28.9,2538,91.1,4,0,11,250,47
Kusal Mendis,64,62,2,1692,102,28.2,1974,85.71,1,0,15,174,28
Jeffrey Vandersay,11,7,1,71,25,11.83,166,42.77,0,0,0,3,0
Lasith Malinga,219,115,36,551,56,6.97,729,75.58,0,0,1,43,21
Suranga Lakmal,83,46,20,224,26,8.62,384,58.33,0,0,0,16,3
Nuwan Pradeep,35,15,10,27,7,5.4,63,42.86,0,0,0,2,1
