Player,Matches,Innings,Bowls,Runs,Wickets,BBI,BBM,Econ,Avg,SR,5W,10W
Dimuth Karunaratne,19,1,10,11,0,0/11,0/11,6.6,0,0,0,0
Avishka Fernando,6,0,0,0,0,0,0,0,0,0,0,0
Lahiru Thirimanne,119,4,104,94,3,Feb-36,Feb-36,5.42,31.33,34.67,0,0
Angelo Mathews,205,154,5071,3901,114,20-Jun,20-Jun,4.62,34.22,44.48,1,0
Dhananjaya de Silva,34,27,686,614,15,Mar-41,Mar-41,5.37,40.93,45.73,0,0
Isuru Udana,7,7,234,241,3,Feb-50,Feb-50,6.18,80.33,78,0,0
Milinda Siriwardana,26,20,589,530,9,27-Feb,27-Feb,5.4,58.89,65.44,0,0
Thisara Perera,155,146,5451,5338,170,Jun-44,Jun-44,5.88,31.4,32.06,4,0
Jeevan Mendis,56,47,1344,1145,28,15-Mar,15-Mar,5.11,40.89,48,0,0
Kusal Perera,89,0,0,0,0,0,0,0,0,0,0,0
Kusal Mendis,64,2,20,28,0,0/13,0/13,8.4,0,0,0,0
Jeffrey Vandersay,11,10,449,430,10,Mar-50,Mar-50,5.75,43,44.9,0,0
Lasith Malinga,219,213,10538,9394,322,Jun-38,Jun-38,5.35,29.17,32.73,8,0
Suranga Lakmal,83,81,3752,3404,107,13-Apr,13-Apr,5.44,31.81,35.07,0,0
Nuwan Pradeep,35,33,1598,1625,42,Apr-34,Apr-34,6.1,38.69,38.05,0,0
