Player,Matches,Innings,No,Runs,HS,Avg,BF,SR,100,200,50,4s,6s
Chris Gayle,289,284,16,10201,215,38.06,11683,87.31,25,1,52,1099,317
Evin Lewis,34,32,0,1010,176,31.56,1227,82.31,2,0,3,105,24
Darren Bravo,7,104,11,2820,124,30.32,4030,69.98,3,0,18,235,64
Shimron Hetmyer,25,25,3,906,127,41.18,823,110.09,4,0,2,62,36
Fabian Allen,7,6,1,32,10,6.4,61,52.46,0,0,0,3,1
Andre Russell,53,44,9,998,92,28.51,765,130.46,0,0,4,91,54
Carlos Brathwaite,33,29,2,389,50,14.41,452,86.06,0,0,1,24,15
Jason Holder,94,77,17,1574,99,26.23,1682,93.58,0,0,8,110,49
Nicholas Pooran,2,2,1,34,34,34,23,147.83,0,0,0,4,2
Shai Hope,53,51,5,2258,170,49.09,2960,76.28,6,0,10,174,39
Ashley Nurse,49,38,13,482,44,19.28,487,98.97,0,0,0,40,12
Kemar Roach,85,54,33,280,34,13.33,521,53.74,0,0,0,21,5
Oshane Thomas,9,3,1,0,0,0,5,0,0,0,0,0,0
Shannon Gabriel,22,14,8,21,12,3.5,53,39.62,0,0,0,1,0
Sheldon Cottrel,14,7,5,26,8,13,35,74.29,0,0,0,1,1
