Player,Matches,Innings,Bowls,Runs,Wickets,BBI,BBM,Econ,Avg,SR,5W,10W
Chris Gayle,289,195,7334,5846,165,May-46,May-46,4.78,35.43,44.45,1,0
Evin Lewis,34,0,0,0,0,0,0,0,0,0,0,0
Darren Bravo,107,0,0,0,0,0,0,0,0,0,0,0
Shimron Hetmyer,25,0,0,0,0,0,0,0,0,0,0,0
Fabian Allen,7,7,198,198,1,Jan-37,Jan-37,6,198,198,0,0
Andre Russell,53,52,2194,2132,67,Apr-35,Apr-35,5.83,31.82,32.75,0,0
Carlos Brathwaite,33,32,1504,1366,31,27-May,27-May,5.45,44.06,48.52,1,0
Jason Holder,94,94,4482,4158,124,27-May,27-May,5.57,33.53,36.15,2,0
Nicholas Pooran,2,0,0,0,0,0,0,0,0,0,0,0
Shai Hope,53,0,0,0,0,0,0,0,0,0,0,0
Ashley Nurse,49,47,2300,2039,49,Apr-51,Apr-51,5.32,41.61,46.94,0,0
Kemar Roach,85,84,4177,3537,117,27-Jun,27-Jun,5.08,30.23,35.7,3,0
Oshane Thomas,9,9,377,440,19,21-May,21-May,7,23.16,19.84,1,0
Shannon Gabriel,22,22,1025,961,31,17-Mar,17-Mar,5.63,31,33.06,0,0
Sheldon Cottrell,14,14,606,605,18,May-46,May-46,5.99,33.61,33.67,1,0
